forward_quarters,forward_years,all_long_beat_pct,all_short_beat_pct,winner_long_beat_pct,winner_short_beat_pct,all_long_count,all_short_count,winner_long_count,winner_short_count,all_long_avg_years_used,all_short_avg_years_used,winner_long_avg_years_used,winner_short_avg_years_used
1,0.25,209.684963,11.016848,1309.311777,22.472991,2700,3819,76,193,0.250000,0.250000,0.250000,0.250000
2,0.50,24.759328,-7.124741,144.225412,2.211067,2700,3747,76,185,0.496019,0.498732,0.490132,0.500000
3,0.75,10.602118,-12.657378,78.588866,-3.363994,2700,3659,76,171,0.739352,0.745217,0.726974,0.747076
4,1.00,3.237439,-13.809864,52.938731,-6.953677,2700,3563,76,168,0.979537,0.990247,0.963816,0.992560
5,1.25,0.002065,-15.179735,43.496506,-8.539844,2700,3515,76,166,1.216111,1.233642,1.187500,1.237952
6,1.50,-1.964986,-15.583248,34.219750,-7.935047,2700,3446,76,162,1.449074,1.474028,1.404605,1.479938
7,1.75,-3.743142,-15.784511,30.150954,-10.121533,2700,3387,76,161,1.679537,1.712135,1.621711,1.720497
8,2.00,-4.702161,-15.668238,28.707390,-8.972940,2700,3341,76,161,1.907222,1.948294,1.838816,1.961180
9,2.25,-5.614853,-16.062329,24.808847,-8.441209,2700,3309,76,159,2.131481,2.181701,2.046053,2.199686
10,2.50,-6.250964,-15.901998,24.771845,-8.032844,2700,3246,76,156,2.352685,2.411121,2.246711,2.434295
11,2.75,-6.244242,-15.588558,23.519313,-6.969739,2700,3210,76,149,2.570556,2.638084,2.447368,2.664430
12,3.00,-6.673396,-15.814809,21.080369,-5.835143,2700,3186,76,147,2.784907,2.862680,2.648026,2.892857
13,3.25,-7.138751,-15.493949,20.091025,-6.947901,2700,3115,76,144,2.992870,3.078892,2.845395,3.118056
14,3.50,-7.296469,-15.410417,18.524175,-7.203282,2700,3061,76,144,3.190926,3.288549,3.042763,3.345486
15,3.75,-7.487475,-15.546027,16.269943,-10.291204,2700,3045,76,145,3.382407,3.493350,3.240132,3.565517
16,4.00,-7.866987,-15.016864,14.919665,-8.682122,2700,2986,76,138,3.565463,3.686956,3.434211,3.771739
17,4.25,-7.957060,-15.145261,12.224317,-11.122488,2700,2954,76,140,3.741574,3.875423,3.621711,3.987500
18,4.50,-8.127632,-15.081706,10.996390,-11.378330,2700,2918,76,138,3.910370,4.056460,3.805921,4.186594
19,4.75,-8.175044,-14.733241,11.277879,-9.378943,2700,2880,76,135,4.072593,4.229427,3.986842,4.374074
20,5.00,-8.194342,-14.472980,10.344272,-10.493866,2700,2850,76,139,4.228704,4.397544,4.161184,4.579137
21,5.25,-8.276863,-14.502652,10.237738,-10.697424,2700,2825,76,135,4.380000,4.560088,4.335526,4.757407
22,5.50,-8.444378,-14.541458,9.812398,-11.284015,2700,2804,76,137,4.523704,4.716209,4.506579,4.954380
23,5.75,-8.521266,-14.551841,9.152996,-10.432455,2700,2778,76,135,4.661389,4.862671,4.671053,5.135185
24,6.00,-8.517494,-14.587500,9.248947,-11.794807,2700,2761,76,137,4.794444,5.005704,4.835526,5.328467
25,6.25,-8.581214,-14.449087,9.077088,-11.050867,2700,2734,76,132,4.923611,5.136247,5.000000,5.479167
26,6.50,-8.565292,-14.310118,8.589906,-11.914404,2700,2706,76,137,5.046944,5.259239,5.161184,5.677007
27,6.75,-8.625392,-14.275758,8.106661,-11.286603,2700,2686,76,131,5.165093,5.379561,5.319079,5.805344
28,7.00,-8.724453,-14.385314,7.626068,-13.316200,2700,2663,76,130,5.279167,5.491551,5.473684,5.961538
29,7.25,-8.675118,-14.204597,7.025066,-10.940025,2700,2633,76,124,5.387130,5.592100,5.625000,6.064516
30,7.50,-8.724768,-14.238759,6.497098,-11.961812,2700,2619,76,125,5.491111,5.694922,5.776316,6.226000
31,7.75,-8.771673,-14.565065,6.390123,-11.825642,2700,2621,76,125,5.589815,5.804655,5.924342,6.376000
32,8.00,-8.746663,-14.435053,6.224968,-12.116211,2700,2596,76,124,5.685185,5.887712,6.069079,6.504032
33,8.25,-8.753875,-14.165192,5.706486,-11.531568,2700,2569,76,123,5.777130,5.962923,6.213816,6.628049
34,8.50,-8.779089,-14.188335,5.149625,-11.499204,2700,2572,76,122,5.865370,6.059778,6.358553,6.745902
35,8.75,-8.771841,-14.259580,4.532014,-11.513861,2700,2562,76,120,5.950000,6.140515,6.500000,6.839583
36,9.00,-8.754874,-14.325912,4.225671,-10.706029,2700,2555,76,117,6.031759,6.219080,6.631579,6.903846
37,9.25,-8.764687,-14.300353,3.792561,-11.350634,2700,2548,76,119,6.110000,6.293171,6.763158,7.054622
38,9.50,-8.725006,-14.225091,3.577020,-11.531788,2700,2530,76,118,6.185185,6.349209,6.894737,7.148305
39,9.75,-8.703288,-14.332185,3.406963,-11.525044,2700,2534,76,116,6.257963,6.428473,7.026316,7.213362
40,10.00,-8.705237,-14.394679,3.233765,-10.899498,2700,2541,76,114,6.327315,6.509445,7.154605,7.271930
